ID_Ejecutivo,ID_Último_Jefe,Sexo,Fuga,Negocio,Edad,MesesServicio,NoSupervisores,Máx.MesesSup,Min.MesesSup,CumpliProm,SalarioFijoProm,SalarioVarMandProm,SalarioVarVolProm,SalarioTotalProm,ProporSalarioFijoProm,PropMesesBajoSalProm,PropMesesBajoCumpliProm,PropMesesNoCumple,SalarioFijoPromJefe,SalarioVarMandPromJefe,SalarioVarVolPromJefe,SalarioTotalPromJefe,ProporSalarioFijoPromJefe,TotalEjecuJefe,PromPropMesesNoCumpleEjecJefe,CumpliPromEjecutJefe,PropEjecuFugadosJefe
78818085,012238263K,,SI,Voluntario,,4,1,4,4,0,278034,0,635000,913034,0.77,0.75,0,1,1552686,0,2418813,3971499,0.45,6,0.61,0.4,0.67
78894393,011834846K,,SI,Mandatorio,,10,2,9,1,0.66,306385,415484,47042,768911,0.45,0.7,0.5,0.1,1248909,1541468,0,2790377,0.55,21,0.25,0.77,0.57
79360619,139238249,F,NO,Voluntario,45,13,1,13,13,0.64,619369,0,709589,1328958,0.67,0.69,0.62,0.31,1467571,0,1393354,2860924,0.58,12,0.5,0.47,0.42
79392146,153119791,F,SI,Voluntario,60,14,2,13,1,0.16,285367,0,420712,706078,0.62,0.79,0.64,0.5,1508052,0,1441518,2949570,0.63,17,0.31,0.49,0.71
79495417,130116221,,NO,Mandatorio,,1,1,1,1,0.41,205467,0,0,205467,1,0,0,0,1340258,2084978,0,3425235,0.45,21,0.38,0.63,0.62
79500003,128866914,M,NO,Voluntario,60,16,3,10,2,0.42,336476,0,350419,686895,0.64,0.69,0.63,0.13,1501064,0,1346390,2847454,0.59,10,0.28,0.62,0.2
79861464,133072551,,SI,Voluntario,,9,1,9,9,0.78,233235,0,1273365,1506599,0.15,0.56,0.78,0.33,895507,0,1986818,2882324,0.34,10,0.36,0.56,0.9
80073011,130491502,,SI,Voluntario,,5,1,5,5,0.1,210000,0,49852,259852,0.56,0.4,0.6,0.6,1313879,0,1384467,2698346,0.57,16,0.42,0.34,0.75
80089147,94801133,,SI,Voluntario,,6,3,4,1,0.1,346111,0,98497,444608,0.86,0.67,0.67,0.67,1447558,0,1199943,2647501,0.64,12,0.42,0.4,0.5
80132611,83284579,,SI,Voluntario,,3,1,3,3,0.43,283889,0,104526,388415,0.74,0.33,0.67,0.33,1540297,0,852097,2392394,0.7,22,0.47,0.34,0.68
80153538,104714412,F,NO,Mandatorio,61,15,1,15,15,0.99,379148,728290,26882,1134320,0.5,0.6,0.53,0,1491056,2252287,0,3743343,0.46,30,0.2,0.99,0.57
80290934,141029142,M,SI,Mandatorio,60,5,1,5,5,0.69,322717,298228,14789,635734,0.6,0.2,0.6,0,1275451,809412,0,2084863,0.68,13,0.1,0.83,0.38
80569467,112352481,F,NO,Mandatorio,57,19,2,14,5,0.75,278944,858054,44540,1181538,0.33,0.42,0.42,0.37,1435721,1518841,0,2954563,0.58,15,0.15,1.15,0.4
80943881,135086002,,SI,Mandatorio,,4,1,4,4,0.98,221031,663669,90000,974700,0.35,0.5,0.5,0.25,1413067,1806806,0,3219873,0.53,17,0.11,1.07,0.35
81125597,139269624,,SI,Voluntario,,3,3,1,1,0.3,194444,0,0,194444,1,0.33,0.33,0.33,1369965,0,340757,1710722,0.8,16,0.52,0.4,0.69
81259275,94801133,,SI,Voluntario,,7,1,7,7,0.1,315000,0,395246,710246,0.78,0.86,0.57,0.57,1447558,0,1199943,2647501,0.64,12,0.42,0.4,0.5
81263116,132954186,M,SI,Mandatorio,60,7,3,4,1,0.79,249937,498812,26465,775214,0.37,0.57,0.71,0.29,1373320,1534267,30096,2937684,0.53,27,0.2,1.06,0.56
81283656,152602022,,NO,Mandatorio,,8,1,8,8,1.03,354891,291285,14561,660736,0.7,0.5,0.38,0,1380027,650600,0,2030627,0.77,6,0.22,0.9,0.33
81333955,74808816,F,SI,Mandatorio,61,7,1,7,7,0,349208,0,192558,541766,0.74,0.57,0,1,1984280,605217,0,2589497,0.79,12,0.28,0.55,0.75
81452598,119071224,M,NO,Voluntario,56,21,4,13,2,1,360372,0,977136,1337508,0.5,0.52,0.71,0.33,1480000,0,2500000,3980000,0.37,7,0.79,0.48,0
81628262,137343282,,SI,Mandatorio,,4,1,4,4,1.13,182965,459340,22929,665234,0.36,0.5,0.75,0.5,1216479,1522178,0,2738657,0.49,27,0.22,0.9,0.44
81684782,121639750,M,NO,Mandatorio,57,24,2,13,11,1.46,368319,1715799,55951,2140069,0.3,0.38,0.5,0,1366173,2188296,0,3554469,0.47,11,0.09,1.32,0.27
82368841,67196600,,NO,Voluntario,,4,1,4,4,1.33,350000,0,2360750,2710750,0.13,0.5,0.5,0,1366979,0,1222167,2589146,0.63,18,0.7,0.29,0.78
82494782,180201661,F,SI,Voluntario,60,6,2,4,2,0.79,764615,0,2103422,2868036,0.25,0.33,0.5,0.17,1433878,0,2418300,3852178,0.45,15,0.3,0.91,0.67
82560033,132827486,,NO,Voluntario,,4,1,4,4,0.42,850000,0,1135000,1985000,0.53,0.5,0.25,0,1350745,0,1684724,3035469,0.49,21,0.32,0.57,0.67
82764704,135204226,,SI,Voluntario,,3,1,3,3,0,350000,0,0,350000,1,0,0,1,945754,0,1716800,2662554,0.37,10,0.59,0.18,0.9
82950788,94801133,F,NO,Voluntario,57,13,1,13,13,0.33,593293,0,793040,1386333,0.59,0.69,0.62,0.31,1447558,0,1199943,2647501,0.64,12,0.42,0.4,0.5
83015594,128304177,,SI,Voluntario,,2,1,2,2,0,109053,0,0,109053,1,0.5,0,1,1461527,0,610416,2071944,0.74,15,0.52,0.39,0.53
83089865,79062154,F,SI,Mandatorio,58,18,3,9,1,0.41,370856,536580,19375,926810,0.47,0.44,0.5,0.33,1520685,1265714,10233,2796632,0.64,21,0.35,0.7,0.38
83145641,116070170,,NO,Voluntario,,3,1,3,3,0.2,425000,0,0,425000,1,0.33,0.67,0.67,875704,0,866130,1741834,0.55,25,0.75,0.25,0.4
83287020,95482392,M,NO,Mandatorio,56,25,3,17,4,0.45,331955,669346,67899,1069200,0.4,0.6,0.56,0.28,1553239,2670674,0,4223912,0.37,9,0.44,1.01,0.67
83504749,109588431,F,SI,Voluntario,62,7,2,5,2,0.38,291830,0,574457,866287,0.56,0.86,0.57,0.29,1474853,0,1361914,2836767,0.6,18,0.45,0.42,0.61
83624612,014381629K,F,SI,Mandatorio,45,5,1,5,5,0.25,231568,436454,386116,1054138,0.44,0.6,0.6,0.6,1269631,2380856,91363,3741850,0.39,14,0.28,0.58,0.57
83696737,141029142,F,NO,Mandatorio,53,20,1,20,20,1.16,365683,1428555,36954,1831192,0.35,0.5,0.7,0,1275451,809412,0,2084863,0.68,13,0.1,0.83,0.38
83969253,74808816,F,NO,Mandatorio,47,16,2,9,7,0.57,369434,445707,26266,841407,0.54,0.38,0.5,0,1984280,605217,0,2589497,0.79,12,0.28,0.55,0.75
83984694,162673238,F,SI,Mandatorio,54,4,2,3,1,0.65,274002,213330,9929,497261,0.61,0.5,0.5,0.25,1438331,949964,0,2388295,0.62,9,0.55,0.71,0.56
84294861,134852852,,SI,Voluntario,,4,1,4,4,0.32,250834,0,469999,720832,0.43,0.75,0.5,0.25,1097778,0,1505833,2603611,0.56,7,0.43,0.22,0.86
008450579K,128866914,,NO,Voluntario,,5,2,4,1,0.98,642693,0,1357000,1999693,0.47,0.4,0.8,0,1501064,0,1346390,2847454,0.59,10,0.28,0.62,0.2
84595578,130491502,,SI,Voluntario,,10,2,6,4,0.56,351595,0,860377,1211972,0.52,0.6,0.6,0.3,1313879,0,1384467,2698346,0.57,16,0.42,0.34,0.75
84750387,109250430,,SI,Mandatorio,,5,1,5,5,0.15,325229,64339,1086,390654,0.87,0.4,0.8,0.4,1265516,1386339,7143,2658998,0.55,23,0.39,0.63,0.7
84788988,70526034,F,SI,Voluntario,45,12,2,9,3,,425760,0,69281,495041,0.84,0.58,0,1,,,,,,9,0.37,0.56,0.33
84804282,104714412,,SI,Mandatorio,,10,3,8,1,0.62,295917,423705,21593,741214,0.45,0.3,0.5,0.1,1491056,2252287,0,3743343,0.46,30,0.2,0.99,0.57
84807842,157172786,M,SI,Mandatorio,50,5,2,3,2,0.22,349912,80186,3912,434010,0.86,0.6,0.6,0.6,1112711,505774,0,1618484,0.72,6,0.39,0.5,0.83
85126911,013551439K,,SI,Mandatorio,,8,1,8,8,0.38,358031,300581,17835,676447,0.78,0.88,0.63,0.38,1189709,2018462,0,3208171,0.44,39,0.16,0.69,0.59
85183788,013494241K,M,SI,Mandatorio,60,14,1,14,14,1.89,309310,2512618,183053,3004981,0.16,0.43,0.64,0.14,1298870,1035836,0,2334706,0.64,18,0.32,0.77,0.67
85295799,118347730,F,SI,Voluntario,47,11,1,11,11,1.07,301452,0,3509391,3810843,0.1,0.45,0.73,0.27,1355931,0,813538,2169469,0.68,20,0.43,0.33,0.8
85316397,132744505,M,SI,Mandatorio,47,5,1,5,5,0.4,264706,277733,5478,547917,0.67,0.4,0.6,0.4,1158206,3026582,60870,4245658,0.34,25,0.13,1.11,0.6
85381288,137343282,M,SI,Mandatorio,57,9,1,9,9,0.75,314166,535382,63262,912810,0.42,0.67,0.67,0.11,1216479,1522178,0,2738657,0.49,27,0.22,0.9,0.44
85429965,132744505,F,NO,Mandatorio,59,16,1,16,16,1.8,371680,3566365,126695,4064740,0.28,0.44,0.44,0,1158206,3026582,60870,4245658,0.34,25,0.13,1.11,0.6
85448927,94726468,F,SI,Mandatorio,60,6,2,5,1,0.27,305571,128332,34815,468717,0.59,0.5,0.5,0.17,1480766,754817,809,2236392,0.75,28,0.48,0.61,0.5
85607790,132827486,,SI,Voluntario,,4,1,4,4,0.27,201250,0,28807,230057,0.75,0.5,0.75,0.25,1350745,0,1684724,3035469,0.49,21,0.32,0.57,0.67
85830015,109588431,,NO,Voluntario,,8,1,8,8,0.82,350000,0,798010,1148010,0.48,0.38,0.5,0,1474853,0,1361914,2836767,0.6,18,0.45,0.42,0.61
85846280,013745498K,M,NO,Mandatorio,57,24,3,16,2,0.47,299318,424952,16860,741129,0.54,0.58,0.54,0.42,2004753,1690036,0,3694789,0.59,20,0.21,0.59,0.45
85907727,123053729,,NO,Mandatorio,,4,1,4,4,1.46,332906,1099545,103750,1536202,0.4,0.5,0.5,0,1438363,2290055,17434,3745852,0.49,21,0.11,1.1,0.48
008592589K,107387382,,SI,Mandatorio,,7,2,6,1,0.97,336039,998065,72217,1406321,0.33,0.43,0.29,0.29,1303667,949322,0,2252989,0.65,15,0.28,0.78,0.4
008602781K,104714412,,NO,Mandatorio,,4,1,4,4,1.01,332906,737295,22500,1092701,0.53,0.75,0.5,0,1491056,2252287,0,3743343,0.46,30,0.2,0.99,0.57
86137690,162073478,,SI,Voluntario,,5,1,5,5,0.69,256667,0,317400,574067,0.46,0.6,0.6,0.4,949589,0,1083011,2032600,0.55,5,0.81,0.3,0.8
86206064,142437821,,SI,Mandatorio,,2,1,2,2,0,341456,0,978,342433,1,0.5,0,1,1319802,862986,4545,2187334,0.65,21,0.19,0.72,0.52
86351129,132327556,,NO,Voluntario,,4,1,4,4,0.7,958334,0,748085,1706418,0.66,0.5,0.75,0,1608680,0,977425,2586105,0.67,10,0.67,0.42,0.2
86385678,67196600,M,SI,Voluntario,57,7,1,7,7,0.41,590476,0,151195,741671,0.68,0.29,0.71,0.43,1366979,0,1222167,2589146,0.63,18,0.7,0.29,0.78
86449013,128896406,F,NO,Voluntario,47,16,2,12,4,0.45,554208,0,1292299,1846507,0.5,0.63,0.56,0.13,1503739,0,1367709,2871448,0.64,26,0.43,0.47,0.62
86627000,121524422,,NO,Mandatorio,,8,1,8,8,1.69,356461,1266018,28750,1651229,0.57,0.5,0.63,0,1213041,1625177,0,2838218,0.51,17,0.32,0.84,0.41
86680637,106667659,F,NO,Voluntario,53,24,5,9,1,0.45,382670,173328,323709,879706,0.66,0.67,0.54,0.38,1462580,2168888,0,3631468,0.51,16,0.16,0.98,0.31
86895390,104394256,F,SI,Voluntario,57,3,1,3,3,0.3,334445,0,0,334445,1,0.33,0,0,1367068,0,746661,2113728,0.65,6,0.45,0.27,0.83
86938898,143103064,,SI,Mandatorio,,5,1,5,5,1.14,251599,774910,17448,1043956,0.38,0.4,0.4,0.2,1326378,1018314,0,2344692,0.62,11,0.08,0.96,0.18
87087395,94801788,,SI,Voluntario,,5,1,5,5,0.01,245000,0,167800,412800,0.63,0.8,0.8,1,1422885,0,1141700,2564584,0.63,14,0.63,0.31,0.86
87127222,130491502,F,SI,Voluntario,48,6,1,6,6,0.34,292303,0,1096891,1389195,0.48,0.5,0.67,0.33,1313879,0,1384467,2698346,0.57,16,0.42,0.34,0.75
87130215,94600480,F,SI,Voluntario,57,19,1,19,19,0.76,361362,0,991044,1352406,0.44,0.53,0.53,0.32,1319661,0,1078781,2398441,0.61,5,0.37,0.44,0.6
87315282,137567415,,SI,Voluntario,,3,1,3,3,0,350000,0,0,350000,1,0,0,1,1474680,0,1792980,3267660,0.53,11,0.46,0.39,0.45
87433773,011648157K,M,SI,Mandatorio,55,5,2,3,2,0.59,463577,495384,3933,962895,0.6,0.4,0.4,0,1372448,1308315,0,2680763,0.59,36,0.49,0.55,0.58
87438287,141104977,M,SI,Mandatorio,43,6,2,5,1,0.83,346167,356818,13679,716664,0.65,0.67,0.67,0.33,1407329,1494549,0,2901878,0.56,13,0.19,1.05,0.46
87590585,132064490,F,SI,Mandatorio,58,13,2,12,1,0.97,332989,727015,28573,1088577,0.36,0.46,0.46,0.15,1363323,1287889,0,2651212,0.6,35,0.41,0.77,0.63
87737047,135341797,M,SI,Mandatorio,55,3,1,3,3,1.38,371843,699267,156667,1227777,0.71,0.67,0.67,0.33,1217557,1306625,0,2524182,0.59,10,0.24,0.76,0.5
008777662K,118347730,,SI,Voluntario,,7,1,7,7,0.13,288333,0,52161,340494,0.77,0.29,0.86,0.43,1355931,0,813538,2169469,0.68,20,0.43,0.33,0.8
87886077,104714412,,NO,Mandatorio,,3,1,3,3,1.56,376689,1115898,26667,1519253,0.46,0.33,0.33,0,1491056,2252287,0,3743343,0.46,30,0.2,0.99,0.57
88273923,132954186,F,NO,Mandatorio,52,16,2,15,1,0.82,276287,836853,22395,1135535,0.4,0.44,0.38,0.38,1373320,1534267,30096,2937684,0.53,27,0.2,1.06,0.56
008827752K,94726468,M,NO,Mandatorio,57,16,2,12,4,0.72,315498,553292,19003,887793,0.52,0.63,0.56,0.19,1480766,754817,809,2236392,0.75,28,0.48,0.61,0.5
88402855,118347730,,SI,Voluntario,,6,1,6,6,0.07,330556,0,40595,371151,0.91,0.67,0.67,0.67,1355931,0,813538,2169469,0.68,20,0.43,0.33,0.8
88459083,106656622,M,SI,Mandatorio,57,18,2,17,1,0.47,326072,356722,10249,693043,0.57,0.72,0.56,0.28,1538081,1029202,0,2567282,0.66,10,0.31,0.82,0.3
88717988,67196600,M,SI,Voluntario,56,4,2,3,1,0.26,300417,0,450000,750417,0.53,0.25,0.25,0.25,1366979,0,1222167,2589146,0.63,18,0.7,0.29,0.78
